CODMUNRES,Ano,Qtd_Obitos_Declarados_Investigados,Qtd_Total,Ratio
110147,2017,0.0,2,0.0
110147,2018,0.0,1,0.0
110147,2019,0.0,2,0.0
110148,2013,0.0,1,0.0
110148,2014,0.0,1,0.0
110148,2015,0.0,1,0.0
110148,2017,0.0,1,0.0
110148,2019,0.0,1,0.0
110149,2013,0.0,2,0.0
110149,2014,0.0,4,0.0
110149,2016,0.0,3,0.0
110149,2017,0.0,4,0.0
110149,2018,0.0,6,0.0
110149,2019,0.0,4,0.0
110150,2012,0.0,2,0.0
110150,2013,0.0,2,0.0
110150,2014,0.0,2,0.0
110150,2015,0.0,4,0.0
110150,2016,0.0,1,0.0
110150,2017,0.0,2,0.0
110150,2018,0.0,1,0.0
110150,2019,0.0,1,0.0
110155,2014,0.0,1,0.0
110155,2017,0.0,1,0.0
110155,2018,0.0,1,0.0
110155,2019,0.0,1,0.0
110160,2012,0.0,1,0.0
110160,2014,0.0,2,0.0
110160,2015,0.0,2,0.0
110160,2017,0.0,3,0.0
110160,2018,0.0,1,0.0
110170,2012,0.0,3,0.0
110170,2013,0.0,1,0.0
110170,2014,0.0,1,0.0
110170,2015,0.0,4,0.0
110170,2017,0.0,1,0.0
110170,2018,0.0,1,0.0
110170,2019,0.0,1,0.0
110175,2015,0.0,1,0.0
110175,2016,0.0,3,0.0
110175,2019,0.0,1,0.0
110180,2014,0.0,1,0.0
110180,2015,0.0,1,0.0
110180,2016,0.0,3,0.0
110180,2019,0.0,2,0.0
120001,2012,0.0,2,0.0
120001,2013,0.0,2,0.0
120001,2014,0.0,3,0.0
120001,2015,0.0,2,0.0
120001,2017,0.0,2,0.0
120005,2012,0.0,2,0.0
120005,2013,0.0,1,0.0
120005,2014,0.0,1,0.0
120005,2015,0.0,3,0.0
120005,2016,0.0,4,0.0
120005,2017,0.0,2,0.0
120005,2018,0.0,3,0.0
120005,2019,0.0,3,0.0
120010,2012,0.0,3,0.0
120010,2013,0.0,4,0.0
120010,2014,0.0,6,0.0
120010,2015,0.0,9,0.0
120010,2016,0.0,9,0.0
120010,2017,0.0,9,0.0
120010,2018,0.0,7,0.0
120010,2019,0.0,5,0.0
120013,2012,0.0,1,0.0
120013,2014,0.0,1,0.0
120013,2015,0.0,2,0.0
120013,2016,0.0,1,0.0
120013,2017,0.0,2,0.0
120013,2018,0.0,1,0.0
120013,2019,0.0,3,0.0
120017,2012,0.0,4,0.0
120017,2014,0.0,2,0.0
120017,2015,0.0,1,0.0
120017,2016,0.0,5,0.0
120017,2017,0.0,4,0.0
120017,2018,0.0,3,0.0
120020,2012,0.0,20,0.0
120020,2013,0.0,16,0.0
120020,2014,0.0,12,0.0
120020,2015,0.0,17,0.0
120020,2016,0.0,10,0.0
120020,2017,0.0,19,0.0
120020,2018,0.0,26,0.0
120020,2019,0.0,27,0.0
120025,2012,0.0,5,0.0
120025,2013,0.0,3,0.0
120025,2014,0.0,1,0.0
120025,2015,0.0,1,0.0
120025,2016,0.0,3,0.0
120025,2017,0.0,3,0.0
120025,2018,0.0,4,0.0
120025,2019,0.0,1,0.0
120030,2012,0.0,8,0.0
120030,2013,0.0,19,0.0
120030,2014,0.0,13,0.0
120030,2015,0.0,17,0.0
120030,2016,0.0,15,0.0
120030,2017,0.0,8,0.0
120030,2018,0.0,30,0.0
120030,2019,0.0,26,0.0
120032,2012,0.0,9,0.0
120032,2013,0.0,5,0.0
120032,2014,0.0,2,0.0
120032,2015,0.0,3,0.0
120032,2018,0.0,3,0.0
120032,2019,0.0,2,0.0
120033,2012,0.0,3,0.0
120033,2013,0.0,2,0.0
120033,2014,0.0,4,0.0
120033,2015,0.0,7,0.0
120033,2017,0.0,2,0.0
120033,2018,0.0,6,0.0
120033,2019,0.0,6,0.0
120034,2012,0.0,2,0.0
120034,2013,1.0,3,0.3333333333333333
120034,2014,0.0,7,0.0
120034,2015,0.0,5,0.0
120034,2016,0.0,5,0.0
120034,2017,0.0,5,0.0
120034,2018,0.0,1,0.0
120034,2019,0.0,7,0.0
120035,2012,0.0,6,0.0
120035,2013,0.0,3,0.0
120035,2014,0.0,13,0.0
120035,2015,1.0,5,0.2
120035,2016,0.0,3,0.0
120035,2017,0.0,5,0.0
120035,2018,0.0,7,0.0
120035,2019,0.0,4,0.0
120038,2013,0.0,2,0.0
120038,2014,0.0,1,0.0
120038,2015,0.0,7,0.0
120038,2016,0.0,2,0.0
120038,2017,0.0,3,0.0
120038,2018,0.0,4,0.0
120038,2019,0.0,1,0.0
120039,2012,0.0,4,0.0
120039,2013,0.0,4,0.0
120039,2014,0.0,1,0.0
120039,2015,0.0,4,0.0
120039,2016,0.0,2,0.0
120039,2017,0.0,4,0.0
120039,2018,0.0,4,0.0
120039,2019,0.0,6,0.0
120040,2012,0.0,73,0.0
120040,2013,0.0,95,0.0
120040,2014,0.0,104,0.0
120040,2015,0.0,99,0.0
120040,2016,1.0,80,0.0125
120040,2017,0.0,69,0.0
120040,2018,0.0,93,0.0
120040,2019,0.0,68,0.0
120042,2012,0.0,2,0.0
120042,2013,0.0,1,0.0
120042,2014,0.0,6,0.0
120042,2015,0.0,3,0.0
120042,2016,0.0,8,0.0
120042,2017,0.0,6,0.0
120042,2018,0.0,5,0.0
120042,2019,0.0,12,0.0
120043,2012,0.0,4,0.0
120043,2013,0.0,6,0.0
120043,2014,0.0,2,0.0
120043,2015,0.0,5,0.0
120043,2016,0.0,2,0.0
120043,2017,0.0,1,0.0
120043,2018,0.0,6,0.0
120043,2019,0.0,5,0.0
120045,2012,0.0,4,0.0
120045,2013,0.0,2,0.0
120045,2014,0.0,4,0.0
120045,2015,0.0,5,0.0
120045,2016,0.0,2,0.0
120045,2017,0.0,5,0.0
120045,2018,0.0,5,0.0
120045,2019,0.0,4,0.0
120050,2012,0.0,10,0.0
120050,2013,0.0,13,0.0
120050,2014,0.0,7,0.0
120050,2015,0.0,5,0.0
120050,2016,0.0,11,0.0
120050,2017,0.0,9,0.0
120050,2018,0.0,11,0.0
120050,2019,0.0,9,0.0
120060,2012,0.0,17,0.0
120060,2013,0.0,18,0.0
120060,2014,0.0,23,0.0
120060,2015,0.0,29,0.0
120060,2016,1.0,17,0.058823529411764705
120060,2017,0.0,20,0.0
120060,2018,0.0,14,0.0
120060,2019,0.0,22,0.0
120070,2012,0.0,3,0.0
120070,2013,0.0,2,0.0
120070,2014,0.0,1,0.0
120070,2015,0.0,1,0.0
120070,2016,0.0,5,0.0
120070,2017,0.0,1,0.0
120070,2018,0.0,4,0.0
120070,2019,0.0,4,0.0
120080,2012,0.0,2,0.0
120080,2014,0.0,8,0.0
120080,2015,0.0,4,0.0
120080,2016,0.0,2,0.0
120080,2017,0.0,4,0.0
120080,2018,0.0,6,0.0
120080,2019,0.0,2,0.0
130000,2014,0.0,1,0.0
130000,2019,0.0,1,0.0
130002,2012,0.0,5,0.0
130002,2013,0.0,5,0.0
130002,2014,0.0,3,0.0
130002,2015,0.0,3,0.0
130002,2016,0.0,6,0.0
130002,2017,0.0,8,0.0
130002,2018,0.0,11,0.0
130002,2019,0.0,7,0.0
130006,2012,0.0,5,0.0
130006,2013,1.0,7,0.14285714285714285
130006,2014,0.0,12,0.0
130006,2015,0.0,9,0.0
130006,2016,0.0,4,0.0
130006,2017,0.0,5,0.0
130006,2018,0.0,5,0.0
130006,2019,0.0,5,0.0
130008,2012,0.0,2,0.0
130008,2013,0.0,5,0.0
130008,2015,0.0,1,0.0
130008,2016,0.0,4,0.0
130008,2017,0.0,2,0.0
130008,2018,0.0,3,0.0
130008,2019,0.0,3,0.0
130010,2012,0.0,3,0.0
130010,2013,0.0,4,0.0
130010,2014,0.0,4,0.0
130010,2015,0.0,3,0.0
130010,2016,0.0,4,0.0
130010,2017,0.0,4,0.0
130010,2018,0.0,7,0.0
130010,2019,0.0,5,0.0
130014,2012,0.0,5,0.0
130014,2013,0.0,3,0.0
130014,2014,0.0,4,0.0
130014,2015,0.0,4,0.0
130014,2016,0.0,3,0.0
130014,2017,0.0,1,0.0
130014,2018,0.0,2,0.0
130014,2019,0.0,5,0.0
130020,2012,0.0,8,0.0
130020,2013,0.0,13,0.0
130020,2014,0.0,12,0.0
130020,2015,0.0,14,0.0
130020,2016,0.0,8,0.0
130020,2017,0.0,12,0.0
130020,2018,0.0,10,0.0
130020,2019,0.0,9,0.0
130030,2012,0.0,11,0.0
130030,2013,0.0,9,0.0
130030,2014,0.0,7,0.0
130030,2015,0.0,7,0.0
130030,2016,0.0,6,0.0
130030,2017,0.0,9,0.0
130030,2018,0.0,9,0.0
130030,2019,0.0,4,0.0
130040,2012,0.0,41,0.0
130040,2013,0.0,29,0.0
130040,2014,0.0,7,0.0
130040,2015,0.0,24,0.0
130040,2016,0.0,21,0.0
130040,2017,0.0,16,0.0
130040,2018,0.0,20,0.0
130040,2019,0.0,12,0.0
130050,2012,0.0,7,0.0
130050,2013,0.0,14,0.0
130050,2014,0.0,20,0.0
130050,2015,0.0,9,0.0
130050,2016,0.0,16,0.0
130050,2017,0.0,12,0.0
130050,2018,0.0,12,0.0
130050,2019,0.0,14,0.0
130060,2012,0.0,24,0.0
130060,2013,0.0,31,0.0
130060,2014,0.0,16,0.0
130060,2015,0.0,31,0.0
130060,2016,0.0,13,0.0
130060,2017,0.0,18,0.0
130060,2018,0.0,14,0.0
130060,2019,0.0,21,0.0
130063,2012,0.0,6,0.0
130063,2013,0.0,3,0.0
130063,2014,0.0,4,0.0
130063,2015,0.0,3,0.0
130063,2016,0.0,7,0.0
130063,2017,0.0,5,0.0
130063,2018,0.0,3,0.0
130063,2019,0.0,3,0.0
130068,2012,0.0,1,0.0
130068,2013,0.0,2,0.0
130068,2014,0.0,4,0.0
130068,2015,0.0,4,0.0
130068,2016,0.0,2,0.0
130068,2017,0.0,4,0.0
130068,2018,0.0,3,0.0
130068,2019,0.0,9,0.0
130070,2012,0.0,8,0.0
130070,2013,0.0,6,0.0
130070,2014,0.0,6,0.0
130070,2015,0.0,11,0.0
130070,2016,0.0,8,0.0
130070,2017,0.0,11,0.0
130070,2018,0.0,14,0.0
130070,2019,0.0,3,0.0
130080,2012,0.0,7,0.0
130080,2013,0.0,13,0.0
130080,2014,0.0,10,0.0
130080,2015,0.0,6,0.0
130080,2016,0.0,13,0.0
130080,2017,0.0,10,0.0
130080,2018,0.0,8,0.0
130080,2019,0.0,13,0.0
130083,2012,0.0,1,0.0
130083,2013,0.0,2,0.0
130083,2014,0.0,2,0.0
130083,2015,0.0,3,0.0
130083,2016,0.0,1,0.0
130083,2017,0.0,5,0.0
130083,2018,0.0,1,0.0
130083,2019,0.0,5,0.0
130090,2012,0.0,1,0.0
130090,2013,0.0,2,0.0
130090,2014,0.0,3,0.0
130090,2015,0.0,5,0.0
130090,2016,0.0,4,0.0
130090,2017,0.0,5,0.0
130090,2018,0.0,3,0.0
130090,2019,0.0,8,0.0
130100,2012,0.0,24,0.0
130100,2013,0.0,15,0.0
130100,2014,0.0,18,0.0
130100,2015,0.0,8,0.0
130100,2016,0.0,14,0.0
130100,2017,0.0,11,0.0
130100,2018,0.0,10,0.0
130100,2019,0.0,8,0.0
130110,2012,0.0,7,0.0
130110,2013,0.0,1,0.0
130110,2014,0.0,1,0.0
130110,2015,0.0,9,0.0
130110,2016,0.0,6,0.0
130110,2017,0.0,6,0.0
130110,2018,0.0,8,0.0
130110,2019,0.0,4,0.0
130115,2012,0.0,3,0.0
130115,2013,0.0,2,0.0
130115,2015,0.0,3,0.0
130115,2018,0.0,5,0.0
130115,2019,0.0,3,0.0
130120,2012,0.0,18,0.0
130120,2013,0.0,27,0.0
130120,2014,0.0,27,0.0
130120,2015,1.0,21,0.047619047619047616
130120,2016,0.0,20,0.0
130120,2017,0.0,28,0.0
130120,2018,0.0,20,0.0
130120,2019,0.0,28,0.0
130130,2012,0.0,5,0.0
130130,2013,0.0,4,0.0
130130,2014,0.0,3,0.0
130130,2015,0.0,5,0.0
130130,2016,0.0,5,0.0
130130,2017,0.0,5,0.0
130130,2018,0.0,3,0.0
130130,2019,0.0,9,0.0
130140,2012,0.0,32,0.0
130140,2013,0.0,25,0.0
130140,2014,0.0,22,0.0
130140,2015,0.0,22,0.0
130140,2016,0.0,32,0.0
130140,2017,0.0,28,0.0
130140,2018,0.0,27,0.0
130140,2019,0.0,22,0.0
130150,2012,0.0,8,0.0
130150,2013,0.0,7,0.0
130150,2014,0.0,8,0.0
130150,2015,0.0,9,0.0
130150,2016,0.0,13,0.0
130150,2017,0.0,8,0.0
130150,2018,0.0,15,0.0
130150,2019,0.0,12,0.0
130160,2012,0.0,10,0.0
130160,2013,1.0,11,0.09090909090909091
130160,2014,0.0,9,0.0
130160,2015,1.0,11,0.09090909090909091
130160,2016,1.0,10,0.1
130160,2017,0.0,7,0.0
130160,2018,0.0,8,0.0
130160,2019,0.0,10,0.0
130165,2012,0.0,4,0.0
130165,2013,0.0,3,0.0
130165,2014,0.0,3,0.0
130165,2015,0.0,1,0.0
130165,2016,0.0,3,0.0
130165,2018,0.0,3,0.0
130165,2019,0.0,4,0.0
130170,2012,0.0,12,0.0
130170,2013,0.0,12,0.0
130170,2014,0.0,10,0.0
130170,2015,0.0,10,0.0
130170,2016,0.0,14,0.0
130170,2017,0.0,14,0.0
130170,2018,0.0,7,0.0
130170,2019,0.0,10,0.0
130180,2012,0.0,5,0.0
130180,2013,0.0,5,0.0
130180,2014,0.0,9,0.0
130180,2015,0.0,10,0.0
130180,2016,0.0,5,0.0
130180,2017,0.0,8,0.0
130180,2018,0.0,13,0.0
130180,2019,0.0,8,0.0
130185,2012,0.0,10,0.0
130185,2013,0.0,10,0.0
130185,2014,0.0,9,0.0
130185,2015,0.0,9,0.0
130185,2016,0.0,13,0.0
130185,2017,0.0,4,0.0
130185,2018,0.0,11,0.0
130185,2019,0.0,12,0.0
130190,2012,0.0,21,0.0
130190,2013,0.0,24,0.0
130190,2014,0.0,22,0.0
130190,2015,0.0,28,0.0
130190,2016,0.0,19,0.0
130190,2017,0.0,35,0.0
130190,2018,0.0,16,0.0
130190,2019,0.0,38,0.0
130195,2012,0.0,3,0.0
130195,2013,0.0,2,0.0
130195,2014,0.0,2,0.0
130195,2015,0.0,3,0.0
130195,2016,0.0,4,0.0
130195,2017,0.0,5,0.0
130195,2018,0.0,2,0.0
130195,2019,0.0,6,0.0
130200,2012,0.0,4,0.0
130200,2013,0.0,1,0.0
130200,2015,0.0,1,0.0
130200,2016,0.0,1,0.0
130200,2017,0.0,2,0.0
130200,2019,0.0,4,0.0
130210,2012,0.0,5,0.0
130210,2013,0.0,3,0.0
130210,2014,0.0,1,0.0
130210,2015,0.0,1,0.0
130210,2016,0.0,3,0.0
130210,2017,0.0,2,0.0
130210,2018,0.0,2,0.0
130210,2019,0.0,5,0.0
130220,2012,0.0,3,0.0
130220,2013,0.0,1,0.0
130220,2014,0.0,4,0.0
130220,2015,0.0,3,0.0
130220,2016,0.0,3,0.0
130220,2017,0.0,4,0.0
130220,2018,0.0,7,0.0
130220,2019,0.0,4,0.0
130230,2012,0.0,8,0.0
130230,2013,0.0,13,0.0
130230,2014,0.0,9,0.0
130230,2015,0.0,15,0.0
130230,2016,0.0,13,0.0
130230,2017,0.0,13,0.0
130230,2018,0.0,10,0.0
130230,2019,0.0,14,0.0
130240,2012,0.0,15,0.0
130240,2013,0.0,9,0.0
130240,2014,0.0,14,0.0
130240,2015,0.0,12,0.0
130240,2016,0.0,15,0.0
130240,2017,0.0,8,0.0
130240,2018,0.0,17,0.0
130240,2019,0.0,12,0.0
130250,2012,0.0,27,0.0
130250,2013,0.0,21,0.0
130250,2014,0.0,30,0.0
130250,2015,0.0,26,0.0
130250,2016,0.0,30,0.0
130250,2017,0.0,18,0.0
130250,2018,0.0,29,0.0
130250,2019,0.0,11,0.0
130255,2012,0.0,2,0.0
130255,2014,0.0,6,0.0
130255,2015,0.0,3,0.0
130255,2016,0.0,4,0.0
130255,2017,0.0,4,0.0
130255,2018,0.0,1,0.0
130255,2019,0.0,6,0.0
130260,2012,0.0,513,0.0
130260,2013,0.0,614,0.0
130260,2014,0.0,556,0.0
130260,2015,0.0,538,0.0
130260,2016,0.0,496,0.0
130260,2017,0.0,536,0.0
130260,2018,0.0,521,0.0
130260,2019,0.0,517,0.0
130270,2012,0.0,11,0.0
130270,2013,0.0,14,0.0
130270,2014,0.0,7,0.0
130270,2015,0.0,15,0.0
130270,2016,0.0,14,0.0
130270,2017,0.0,20,0.0
130270,2018,2.0,25,0.08
130270,2019,0.0,24,0.0
130280,2012,0.0,4,0.0
130280,2013,0.0,6,0.0
130280,2014,0.0,4,0.0
130280,2015,0.0,7,0.0
130280,2016,0.0,2,0.0
130280,2017,0.0,8,0.0
130280,2018,0.0,3,0.0
130280,2019,0.0,3,0.0
130290,2012,0.0,24,0.0
130290,2013,1.0,14,0.07142857142857142
130290,2014,0.0,18,0.0
130290,2015,0.0,18,0.0
130290,2016,0.0,27,0.0
130290,2017,0.0,23,0.0
130290,2018,0.0,31,0.0
130290,2019,0.0,20,0.0
130300,2013,0.0,5,0.0
130300,2014,0.0,10,0.0
130300,2015,0.0,8,0.0
130300,2016,0.0,8,0.0
130300,2017,0.0,6,0.0
130300,2018,0.0,8,0.0
130300,2019,0.0,10,0.0
130310,2012,0.0,9,0.0
130310,2013,0.0,13,0.0
130310,2014,0.0,12,0.0
130310,2015,0.0,8,0.0
130310,2016,0.0,12,0.0
130310,2017,0.0,10,0.0
130310,2018,0.0,13,0.0
130310,2019,0.0,14,0.0
130320,2012,0.0,2,0.0
130320,2014,0.0,5,0.0
130320,2015,0.0,5,0.0
130320,2016,0.0,2,0.0
130320,2017,0.0,5,0.0
130320,2018,0.0,3,0.0
130320,2019,0.0,3,0.0
130330,2012,0.0,5,0.0
130330,2013,0.0,3,0.0
130330,2014,0.0,4,0.0
130330,2015,0.0,8,0.0
130330,2016,0.0,1,0.0
130330,2017,0.0,4,0.0
130330,2018,0.0,8,0.0
130330,2019,0.0,14,0.0
130340,2012,0.0,33,0.0
130340,2013,0.0,45,0.0
130340,2014,0.0,37,0.0
130340,2015,0.0,40,0.0
130340,2016,0.0,41,0.0
130340,2017,0.0,49,0.0
130340,2018,0.0,50,0.0
130340,2019,0.0,45,0.0
130350,2012,0.0,2,0.0
130350,2013,0.0,4,0.0
130350,2014,0.0,4,0.0
130350,2015,0.0,4,0.0
130350,2016,0.0,6,0.0
130350,2017,0.0,7,0.0
130350,2018,0.0,4,0.0
130350,2019,0.0,10,0.0
130353,2012,0.0,5,0.0
130353,2013,0.0,8,0.0
130353,2014,0.0,13,0.0
130353,2015,0.0,6,0.0
130353,2016,0.0,6,0.0
130353,2017,0.0,4,0.0
130353,2018,0.0,8,0.0
130353,2019,0.0,9,0.0
130356,2012,0.0,4,0.0
